_key_,_dataset_id_,_seconds_,Z_AB,__file__,_forecast_steps_derived_,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,Z_BA,DeltaZ
LSTM|100.0|3.0|120.0|20.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.6931825604632994,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,120.0,20.0,16-64:16,2048.0,0.6291979635321242,0.0639845969311752
LSTM|100.0|3.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.608088899710682,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,60.0,20.0,64-256:64,2048.0,0.3988656112226054,0.20922328848807664
LSTM|100.0|10.0|60.0|20.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.5900671721008742,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,60.0,20.0,16-64:16,2048.0,0.5011320021161119,0.08893516998476236
LSTM|40.0|3.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.38970778727032557,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,120.0,20.0,64-256:64,2048.0,0.4752451564172649,-0.08553736914693932
GRU|40.0|3.0|120.0|20.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.2539054757686418,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,120.0,20.0,16-64:16,2048.0,0.25193435165323624,0.0019711241154055648
GRU|40.0|3.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.3487821725083635,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,60.0,20.0,64-256:64,2048.0,0.048457175233338694,0.3003249972750248
GRU|100.0|3.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-0.27751784463170365,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,120.0,20.0,64-256:64,2048.0,1.039245073843404,-1.3167629184751077
LSTM|40.0|10.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.1602472689480802,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,60.0,20.0,64-256:64,2048.0,-0.09836299454543632,0.2586102634935165
GRU|100.0|10.0|60.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.39316255128709554,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,60.0,20.0,64-256:64,2048.0,-0.4209288720931348,0.8140914233802303
GRU|40.0|10.0|120.0|20.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.2941432053009432,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,120.0,20.0,64-256:64,2048.0,0.5849260887071416,-0.2907828834061984
GRU|100.0|3.0|60.0|20.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,-1.628919256094731,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,60.0,20.0,16-64:16,2048.0,-0.30027870101435666,-1.3286405550803744
LSTM|40.0|3.0|60.0|150.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.5879137261252363,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,60.0,150.0,16-64:16,2048.0,0.2868868084802966,0.3010269176449397
GRU|40.0|10.0|60.0|150.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.7110802650461773,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,60.0,150.0,16-64:16,2048.0,0.667345707494815,0.04373455755136224
GRU|100.0|10.0|120.0|150.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.6065435081354483,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,120.0,150.0,16-64:16,2048.0,0.19393158216141015,0.4126119259740382
LSTM|100.0|10.0|120.0|150.0|64-256:64|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.3658878316142286,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,120.0,150.0,64-256:64,2048.0,1.101868043289791,-0.7359802116755623
LSTM|40.0|10.0|120.0|150.0|16-64:16|2048.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.06657025609892112,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,120.0,150.0,16-64:16,2048.0,-0.45501191988115935,0.5215821759800805
GRU|100.0|3.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.8247234803954125,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,60.0,20.0,16-64:16,256.0,0.3491133849199894,0.47561009547542316
GRU|100.0|3.0|120.0|20.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.8594365625839345,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,GRU,100.0,3.0,120.0,20.0,64-256:64,256.0,0.4322145210526032,0.4272220415313313
LSTM|100.0|10.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.5903392802013584,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,60.0,20.0,16-64:16,256.0,0.8055115515503602,-0.21517227134900185
GRU|40.0|10.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.6874692329396317,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,60.0,20.0,16-64:16,256.0,0.47227612658058704,0.21519310635904465
