timestamp;rssi;x;y;orientation_x;orientation_y;orientation_z;orientation_w
1744464598.751;-49;0.856007;1.36508;0;0;0.836178;0.548458
1744464598.765;-49;0.856007;1.36508;0;0;0.836178;0.548458
1744464598.776;-49;0.856007;1.36508;0;0;0.836178;0.548458
1744464598.789;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.799;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.813;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.823;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.836;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.848;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.859;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.872;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.884;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.896;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.908;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.921;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.933;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.944;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.955;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.968;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.981;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464598.992;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.004;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.016;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.028;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.039;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.052;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.064;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.076;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.087;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.100;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.112;-49;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.123;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.136;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.148;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.160;-50;0.856008;1.36508;0;0;0.836178;0.548458
1744464599.171;-50;0.856008;1.36508;0;0;0.836178;0.548458
