_key_,_seconds_,Z_by_seconds,_composite_base_,__file__,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,_forecast_steps_derived_
GRU|40.0|10.0|60.0|150.0|16-256:16|256.0,10.0,0.33440529196676894,-2.49576382,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,10.0,60.0,150.0,16-256:16,256.0,250
GRU|100.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,-0.4239622542295944,-1.97871891,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,100.0,4.0,60.0,50.0,16-1024:16,256.0,40
GRU|80.0|10.0|60.0|150.0|16-256:16|256.0,10.0,0.6499803421690449,-1.410895643,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,10.0,60.0,150.0,16-256:16,256.0,125
GRU|40.0|8.0|60.0|150.0|16-256:16|256.0,8.0,0.39791401290192296,-4.774741791,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,8.0,60.0,150.0,16-256:16,256.0,200
GRU|40.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,-0.6977404511067454,-3.848670104,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,4.0,60.0,20.0,16-1024:16,256.0,100
LSTM|80.0|4.0|60.0|1000.0|12-1024:16|256.0,4.0,-0.12168448741049108,0.08588914656,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,1000.0,12-1024:16,256.0,50
LSTM|80.0|6.0|60.0|150.0|16-256:16|256.0,6.0,-1.5710776374512598,-7.194019961,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,6.0,60.0,150.0,16-256:16,256.0,75
LSTM|80.0|4.0|30.0|20.0|16-256:16|256.0,4.0,-1.1930533093970495,-7.231740346,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,30.0,20.0,16-256:16,256.0,50
LSTM|40.0|8.0|60.0|150.0|16-256:16|256.0,8.0,-0.9929675197938433,-10.58901345,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,8.0,60.0,150.0,16-256:16,256.0,200
LSTM|80.0|8.0|60.0|150.0|16-256:16|256.0,8.0,-0.8597622348665022,-10.03217831,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,8.0,60.0,150.0,16-256:16,256.0,100
LSTM|80.0|10.0|60.0|150.0|16-256:16|256.0,10.0,-1.7130923045671742,-9.534548995,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,10.0,60.0,150.0,16-256:16,256.0,125
GRU|80.0|4.0|60.0|1000.0|16-1024:16|256.0,4.0,-1.9988664953568462,-12.73558012,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,1000.0,16-1024:16,256.0,50
GRU|80.0|4.0|60.0|1000.0|12-1024:16|1024.0,4.0,-2.635541415141365,-17.08417705,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,1000.0,12-1024:16,1024.0,50
nan|nan|nan|nan|nan|nan|nan,,,,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,,,,,,,,
nan|nan|nan|nan|nan|nan|nan,,,,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,,,,,,,,
nan|nan|nan|nan|nan|nan|nan,,,,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,,,,,,,,
