model,Z-Score_Composite,train_dataset,exp_dataset,group_msec,seconds_ahead,forecast_steps,timesteps_orig,Epochs,units_range,batch_size,best_layers,best_activation,best_optimizer,train_time_m,train_time_h,pred_time_m,step1_mae,step1_mse,step1_rmse,step1_r2,multi_mae,multi_mse,multi_rmse,multi_r2,Z_TIME,Z-MAE@1,Z-RMSE@1,Z-RMSE@1.1,Z-R²@1,Z-MAE@H,Z-MSE@H,Z-RMSE@H,Z-R²@H,__source__,_dataset_id_,Z_Composite_std
GRU,3.741371445,11e12apr25,2025-05-12 11:53:00,40.0,4.0,100.0,60.0,150.0,16-256:16,256.0,2.0,elu,rmsprop,44.62,0.7437,,1.9417,5.6596,2.379,0.6706,0.0247,0.09,0.0304,0.9033,-0.1108441691,-0.2555051953,-0.4219257858,-0.3964485232,0.5010079061,-0.5364563486,-0.2914998624,-0.5669662019,0.6607174528,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-12 11:53:00,0.0
LSTM,3.507905348,11e12apr25,2025-05-17 08:26:03,40.0,6.0,150.0,60.0,150.0,16-256:16,256.0,1.0,elu,rmsprop,21.97,0.3662,3.16,2.0106,6.1844,2.4868,0.6364,0.022,0.12,0.0275,0.9208,-0.3913865395,-0.01342915007,-0.140428366,-0.08443525432,0.2019480137,-0.8664788618,-0.04227578752,-0.874613143,0.8929102319,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-17 08:26:03,0.0
GRU,3.401602078,11e12apr25,2025-05-21 08:42:47,80.0,4.0,48.0,60.0,50.0,16-1024:16,256.0,2.0,tanh,Nadam,29.59,0.4932,1.87,1.9391,5.7825,2.4047,0.6523,0.0261,0.048,0.0323,0.8874,-0.2970053976,-0.2646401404,-0.356003467,-0.3220631706,0.3409846303,-0.365333564,-0.6404135673,-0.3654044129,0.4497537277,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 08:42:47,0.0
GRU,3.633666196,11e12apr25,2025-05-17 00:18:11,80.0,6.0,72.0,60.0,150.0,16-256:16,256.0,2.0,elu,Nadam,20.7,0.345,1.67,2.003,6.3589,2.5217,0.613,0.022,0.0576,0.0275,0.9181,-0.4071167298,-0.04013129729,-0.0468283283,0.01657831788,-0.002671912618,-0.8664788618,-0.5606618633,-0.874613143,0.8570862031,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-17 00:18:11,0.0
LSTM,1.664838976,11e12apr25,2025-05-13 16:39:07,80.0,4.0,48.0,60.0,150.0,16-256:16,256.0,2.0,tanh,rmsprop,10.16,0.1693,1.72,1.8589,5.5363,2.3529,0.6674,0.0326,0.0768,0.0401,0.8262,-0.5376649233,-0.5464180624,-0.4880626606,-0.4719916245,0.4730256939,0.4291650789,-0.4011584554,0.4620597737,-0.3622575915,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-13 16:39:07,0.0
LSTM,1.399233527,11e12apr25,2025-05-21 22:10:55,80.0,4.0,48.0,60.0,20.0,16-1024:16,256.0,2.0,tanh,adam,23.49,0.3915,1.73,1.9209,5.9095,2.431,0.6448,0.0309,0.0672,0.038,0.8436,-0.372559855,-0.3285847561,-0.2878819496,-0.245941195,0.2754013206,0.2213731261,-0.4809101593,0.2392809542,-0.1313916282,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 22:10:55,0.0
LSTM,2.191482647,11e12apr25,2025-05-21 16:56:17,80.0,4.0,48.0,60.0,20.0,16-1024:16,256.0,1.0,elu,nadam,61.59,1.0265,2.11,1.8876,6.6585,2.5804,0.5991,0.0245,0.048,0.031,0.8961,0.09934585412,-0.4455823222,0.1138740859,0.1864779365,-0.1242196466,-0.5609024607,-0.6404135673,-0.5033151106,0.5651867093,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 16:56:17,0.0
LSTM,0.04040339893,11e12apr25,2025-05-21 11:52:52,100.0,4.0,40.0,60.0,50.0,16-1024:16,256.0,1.0,elu,rmsprop,23.56,0.3927,1.24,1.9216,5.7915,2.4065,0.6461,0.0349,0.072,0.0426,0.8071,-0.3716928366,-0.3261253478,-0.3511759579,-0.3168533015,0.2867690943,0.7102953679,-0.4410343074,0.727272654,-0.6156794248,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 11:52:52,0.0
GRU,-0.9804450611,11e12apr25,2025-05-16 23:33:00,40.0,6.0,150.0,60.0,150.0,16-256:16,256.0,1.0,tanh,rmsprop,13.97,0.2328,3.09,2.0577,6.331,2.5161,0.6282,0.0317,0.225,0.0383,0.8467,-0.4904743524,0.1520538939,-0.06179360653,0.0003698363834,0.1302435951,0.3191575745,0.8300084746,0.2711064999,-0.09026033591,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-16 23:33:00,0.0
GRU,2.978626599,11e12apr25,2025-05-20 23:10:21,80.0,4.0,48.0,60.0,150.0,16-1024:16,256.0,2.0,elu,adam,158.12,2.6353,2.13,1.975,6.0364,2.4569,0.637,0.0216,0.0336,0.0268,0.9223,1.294964177,-0.1385076292,-0.2198140713,-0.170976968,0.2071946785,-0.9153710859,-0.7600411232,-0.9488727495,0.9128124702,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-20 23:10:21,0.0
LSTM,-1.140254196,11e12apr25,2025-05-17 14:56:07,40.0,10.0,250.0,60.0,150.0,16-256:16,256.0,1.0,tanh,rmsprop,17.53,0.2922,2.99,2.258,7.5005,2.7387,0.5493,0.0242,0.225,0.0303,0.9058,-0.4463802756,0.8557960109,0.5655143823,0.644656976,-0.5596928232,-0.5975716288,0.8300084746,-0.5775747171,0.6938878498,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-17 14:56:07,0.0
GRU,-0.3565986034,11e12apr25,2025-05-15 20:03:04,80.0,8.0,96.0,60.0,150.0,16-256:16,256.0,2.0,tanh,nadam,23.81,0.3968,1.71,2.1899,7.3591,2.7128,0.5477,0.0256,0.096,0.0321,0.8889,-0.3685963425,0.616530718,0.4896688503,0.5696927491,-0.5736839293,-0.4264488442,-0.2416550474,-0.3866214433,0.4696559659,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-15 20:03:04,0.0
LSTM,-1.762109698,11e12apr25,2025-05-21 14:00:14,40.0,4.0,100.0,60.0,20.0,16-1024:16,256.0,1.0,tanh,rmsprop,60.73,1.0122,3.25,1.9926,5.9348,2.4361,0.655,0.0356,0.18,0.0429,0.8076,0.08869391423,-0.0766710777,-0.2743112852,-0.2311798993,0.3645946218,0.7958567602,0.4561723623,0.7590981996,-0.6090453454,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 14:00:14,0.0
GRU,-2.49576382,11e12apr25,2025-05-16 22:39:02,40.0,10.0,250.0,60.0,150.0,16-256:16,256.0,2.0,tanh,rmsprop,47.37,0.7895,3.35,2.2114,7.0685,2.6587,0.5753,0.0273,0.3,0.0346,0.877,-0.07678273338,0.6920696871,0.3337939452,0.4131072403,-0.3323373495,-0.2186568914,1.453068662,-0.121408563,0.311764876,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-16 22:39:02,0.0
GRU,-1.97871891,11e12apr25,2025-05-21 12:25:05,100.0,4.0,40.0,60.0,50.0,16-1024:16,256.0,2.0,tanh,Nadam,45.15,0.7525,1.73,2.0262,6.2257,2.4951,0.619,0.0367,0.08,0.0442,0.7919,-0.1042796015,0.04138052055,-0.1182754631,-0.06041196924,0.04979473516,0.9303103767,-0.374574554,0.8970088974,-0.8173554387,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 12:25:05,0.0
GRU,-1.410895643,11e12apr25,2025-05-13 17:28:04,80.0,10.0,120.0,60.0,150.0,16-256:16,256.0,2.0,elu,Nadam,23.92,0.3987,1.68,2.3022,8.0151,2.8311,0.5028,0.0241,0.108,0.0304,0.9013,-0.3672338851,1.011090078,0.8415406251,0.9120969207,-0.9663093435,-0.6097946848,-0.1419654175,-0.5669662019,0.6341811351,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-13 17:28:04,0.0
GRU,-4.774741791,11e12apr25,2025-05-16 22:00:39,40.0,8.0,200.0,60.0,150.0,16-256:16,256.0,2.0,tanh,rmsprop,23.4,0.39,3.1,2.1274,6.5982,2.5687,0.6086,0.0359,0.38,0.0436,0.8013,-0.3736745929,0.3969406915,0.08152977493,0.1526137876,-0.04114745432,0.8325259283,2.117666195,0.8333578061,-0.6926347459,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-16 22:00:39,0.0
GRU,-3.848670104,11e12apr25,2025-05-21 15:04:41,40.0,4.0,100.0,60.0,20.0,16-1024:16,256.0,1.0,relu,rmsprop,74.81,1.2468,3.68,2.0986,6.5095,2.5514,0.6216,0.0367,0.2,0.0442,0.795,0.263088465,0.2957536073,0.03395199074,0.1025411573,0.07253028253,0.9303103767,0.6223217455,0.8970088974,-0.7762241464,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 15:04:41,0.0
LSTM,0.08588914656,11e12apr25,2025-05-21 23:13:22,80.0,4.0,48.0,60.0,1000.0,12-1024:16,256.0,2.0,tanh,rmsprop,215.24,3.5873,1.78,1.9987,6.4299,2.5357,0.6135,0.0251,0.048,0.0316,0.8921,2.002451161,-0.05523909111,-0.008744645352,0.05709952163,0.00170030803,-0.4875641244,-0.6404135673,-0.4396640193,0.5121140741,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-21 23:13:22,0.0
LSTM,-7.194019961,11e12apr25,2025-05-15 11:28:41,80.0,6.0,72.0,60.0,150.0,16-256:16,256.0,2.0,elu,rmsprop,18.44,0.3073,1.69,2.1521,7.0741,2.6597,0.5708,0.0433,0.1944,0.0522,0.7056,-0.4351090369,0.48372267,0.3367977286,0.416001612,-0.3716873353,1.737032076,0.5757999182,1.745690114,-1.962397544,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-15 11:28:41,0.0
LSTM,-7.231740346,11e12apr25,2025-08-01 08:25:53,80.0,4.0,48.0,30.0,20.0,16-256:16,256.0,2.0,tanh,Nadam,4.57,0.07616667,2.03,2.2973,7.5285,2.7438,0.5593,0.0434,0.1248,0.0515,0.7243,-0.6069025326,0.9938742195,0.5805332995,0.6594182716,-0.4722484102,1.749255132,-0.002399935536,1.671430508,-1.714282974,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-08-01 08:25:53,0.0
LSTM,-10.58901345,11e12apr25,2025-05-17 14:09:55,40.0,8.0,200.0,60.0,150.0,16-256:16,256.0,1.0,relu,rmsprop,19.03,0.3172,3.07,2.1884,7.185,2.6805,0.5743,0.0442,0.56,0.0528,0.7086,-0.4278013107,0.6112605574,0.3962833686,0.4762045433,-0.3410817908,1.84703958,3.613010644,1.809341206,-1.922593068,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-17 14:09:55,0.0
LSTM,-10.03217831,11e12apr25,2025-05-15 15:40:24,80.0,8.0,96.0,60.0,150.0,16-256:16,256.0,2.0,elu,rmsprop,10.04,0.1673,1.68,2.1992,7.2533,2.6932,0.5561,0.0472,0.3072,0.0562,0.6591,-0.5391512405,0.6492057139,0.4329187988,0.5129630638,-0.5002306224,2.213731261,1.51288244,2.170030723,-2.579366929,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-15 15:40:24,0.0
LSTM,-9.534548995,11e12apr25,2025-05-13 15:50:36,80.0,10.0,120.0,60.0,150.0,16-256:16,256.0,2.0,elu,Nadam,13.72,0.2287,1.72,2.2658,8.1472,2.8543,0.4957,0.0421,0.3,0.0503,0.7301,-0.4935708466,0.8832008462,0.912397731,0.9792463441,-1.028394877,1.590355403,1.453068662,1.544128325,-1.637327653,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-13 15:50:36,0.0
GRU,-12.73558012,11e12apr25,2025-05-22 06:48:11,80.0,4.0,48.0,60.0,1000.0,16-1024:16,256.0,2.0,tanh,Nadam,169.15,2.8192,1.9,2.5588,10.8074,3.2875,0.3501,0.0354,0.096,0.0452,0.7793,1.431581499,1.91263889,2.339302145,2.233088163,-2.301585529,0.7714106481,-0.2416550474,1.003094049,-0.9845342397,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-22 06:48:11,0.0
GRU,-17.08417705,11e12apr25,2025-05-22 11:01:15,80.0,4.0,48.0,60.0,1000.0,12-1024:16,1024.0,2.0,elu,Nadam,437.78,7.2963,2.06,2.9334,13.8767,3.7251,0.1644,0.0243,0.048,0.0309,0.8968,4.758826398,3.228773673,3.985643667,3.499665217,-3.925428278,-0.5853485728,-0.6404135673,-0.5139236258,0.5744744205,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,11e12apr25→2025-05-22 11:01:15,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,nan→NaT,
,,,,,,,,,,,,,Médias,53.56916667,,,2.014422222,6.446202778,2.515972222,0.6133055556,0.02908888889,0.1250888889,0.03574444444,0.8535027778,,,,,,,,,,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,nan→NaT,
,,,,,,,,,,,,,Desvio padrão,80.73646761,,,0.2846213054,1.864315489,0.345498127,0.1143583639,0.008181260042,0.1203736036,0.009426389839,0.0753684075,,,,,,,,,,C:\Users\Micro\Documents\RSSI_to_AMR\DoE\data\Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,nan→NaT,
