term,coef
Intercept,0.0031920402789415406
resample_scaled,0.01719497957435841
seconds,0.012768161115766579
timesteps,0.18027465537251822
epochs,-0.0020425632511092886
units_avg,0.02548714281827721
batch_log2,-1.2158173347510675
model_LSTM,0.47493228114321273
timesteps:units_avg,-0.000466976403291297
resample_scaled:seconds,0.06877991829720462
