Modelo,Resample (ms),Seconds to predict (s),Forecast steps,Timesteps,Epochs,Units (min-max:step),Batchsize,Feito?
GRU,100,4,40,60,50,16-64:16,256,
GRU,100,4,40,60,50,16-64:16,1024,
GRU,100,4,40,60,50,200-260:20,256,
GRU,100,4,40,60,50,200-260:20,1024,
GRU,100,4,40,60,150,16-1024:16,256,
GRU,100,4,40,60,150,16-1024:16,1024,
GRU,100,4,40,60,150,16-256:16,256,
GRU,100,4,40,60,150,16-256:16,1024,
GRU,100,4,40,60,150,16-64:16,256,
GRU,100,4,40,60,150,16-64:16,1024,
GRU,100,4,40,60,150,200-260:20,256,
GRU,100,4,40,60,150,200-260:20,1024,
GRU,100,4,40,120,20,16-1024:16,256,
GRU,100,4,40,120,20,16-1024:16,1024,
GRU,100,4,40,120,20,16-256:16,256,
GRU,100,4,40,120,20,16-256:16,1024,
GRU,100,4,40,120,20,16-64:16,256,
GRU,100,4,40,120,20,16-64:16,1024,
GRU,100,4,40,120,20,200-260:20,256,
GRU,100,4,40,120,20,200-260:20,1024,
GRU,100,4,40,120,50,16-1024:16,256,
GRU,100,4,40,120,50,16-1024:16,1024,
GRU,100,4,40,120,50,16-256:16,256,
GRU,100,4,40,120,50,16-256:16,1024,
GRU,100,4,40,120,50,16-64:16,256,
GRU,100,4,40,120,50,16-64:16,1024,
GRU,100,4,40,120,50,200-260:20,256,
GRU,100,4,40,120,50,200-260:20,1024,
GRU,100,4,40,120,150,16-1024:16,256,
GRU,100,4,40,120,150,16-1024:16,1024,
GRU,100,4,40,120,150,16-256:16,256,
GRU,100,4,40,120,150,16-256:16,1024,
GRU,100,4,40,120,150,16-64:16,256,
GRU,100,4,40,120,150,16-64:16,1024,
GRU,100,4,40,120,150,200-260:20,256,
GRU,100,4,40,120,150,200-260:20,1024,
LSTM,100,4,40,60,20,16-1024:16,256,
LSTM,100,4,40,60,20,16-1024:16,1024,
LSTM,100,4,40,60,20,16-256:16,256,
LSTM,100,4,40,60,20,16-256:16,1024,
LSTM,100,4,40,60,20,16-64:16,256,
LSTM,100,4,40,60,20,16-64:16,1024,
LSTM,100,4,40,60,20,200-260:20,256,
LSTM,100,4,40,60,20,200-260:20,1024,
LSTM,100,4,40,60,50,16-1024:16,256,
LSTM,100,4,40,60,50,16-1024:16,1024,
LSTM,100,4,40,60,50,16-256:16,256,
LSTM,100,4,40,60,50,16-256:16,1024,
LSTM,100,4,40,60,50,16-64:16,256,
LSTM,100,4,40,60,50,16-64:16,1024,
LSTM,100,4,40,60,50,200-260:20,256,
LSTM,100,4,40,60,50,200-260:20,1024,
LSTM,100,4,40,60,150,16-1024:16,256,
LSTM,100,4,40,60,150,16-1024:16,1024,
LSTM,100,4,40,60,150,16-256:16,256,
LSTM,100,4,40,60,150,16-256:16,1024,
LSTM,100,4,40,60,150,16-64:16,256,
LSTM,100,4,40,60,150,16-64:16,1024,
LSTM,100,4,40,60,150,200-260:20,256,
LSTM,100,4,40,60,150,200-260:20,1024,
LSTM,100,4,40,120,20,16-1024:16,256,
LSTM,100,4,40,120,20,16-1024:16,1024,
LSTM,100,4,40,120,20,16-256:16,256,
LSTM,100,4,40,120,20,16-256:16,1024,
LSTM,100,4,40,120,20,16-64:16,256,
LSTM,100,4,40,120,20,16-64:16,1024,
LSTM,100,4,40,120,20,200-260:20,256,
LSTM,100,4,40,120,20,200-260:20,1024,
LSTM,100,4,40,120,50,16-1024:16,256,
LSTM,100,4,40,120,50,16-1024:16,1024,
LSTM,100,4,40,120,50,16-256:16,256,
LSTM,100,4,40,120,50,16-256:16,1024,
LSTM,100,4,40,120,50,16-64:16,256,
LSTM,100,4,40,120,50,16-64:16,1024,
LSTM,100,4,40,120,50,200-260:20,256,
LSTM,100,4,40,120,50,200-260:20,1024,
LSTM,100,4,40,120,150,16-1024:16,256,
LSTM,100,4,40,120,150,16-1024:16,1024,
LSTM,100,4,40,120,150,16-256:16,256,
LSTM,100,4,40,120,150,16-256:16,1024,
LSTM,100,4,40,120,150,16-64:16,256,
LSTM,100,4,40,120,150,16-64:16,1024,
LSTM,100,4,40,120,150,200-260:20,256,
LSTM,100,4,40,120,150,200-260:20,1024,
GRU,100,10,100,60,20,16-1024:16,256,
GRU,100,10,100,60,20,16-1024:16,1024,
GRU,100,10,100,60,20,16-256:16,256,
GRU,100,10,100,60,20,16-256:16,1024,
GRU,100,10,100,60,20,16-64:16,256,
GRU,100,10,100,60,20,16-64:16,1024,
GRU,100,10,100,60,20,200-260:20,256,
GRU,100,10,100,60,20,200-260:20,1024,
GRU,100,10,100,60,50,16-1024:16,256,
GRU,100,10,100,60,50,16-1024:16,1024,
GRU,100,10,100,60,50,16-256:16,256,
GRU,100,10,100,60,50,16-256:16,1024,
GRU,100,10,100,60,50,16-64:16,256,
GRU,100,10,100,60,50,16-64:16,1024,
GRU,100,10,100,60,50,200-260:20,256,
GRU,100,10,100,60,50,200-260:20,1024,
GRU,100,10,100,60,150,16-1024:16,256,
GRU,100,10,100,60,150,16-1024:16,1024,
GRU,100,10,100,60,150,16-256:16,256,
GRU,100,10,100,60,150,16-256:16,1024,
GRU,100,10,100,60,150,16-64:16,256,
GRU,100,10,100,60,150,16-64:16,1024,
GRU,100,10,100,60,150,200-260:20,256,
GRU,100,10,100,60,150,200-260:20,1024,
GRU,100,10,100,120,20,16-1024:16,256,
GRU,100,10,100,120,20,16-1024:16,1024,
GRU,100,10,100,120,20,16-256:16,256,
GRU,100,10,100,120,20,16-256:16,1024,
GRU,100,10,100,120,20,16-64:16,256,
GRU,100,10,100,120,20,16-64:16,1024,
GRU,100,10,100,120,20,200-260:20,256,
GRU,100,10,100,120,20,200-260:20,1024,
GRU,100,10,100,120,50,16-1024:16,256,
GRU,100,10,100,120,50,16-1024:16,1024,
GRU,100,10,100,120,50,16-256:16,256,
GRU,100,10,100,120,50,16-256:16,1024,
GRU,100,10,100,120,50,16-64:16,256,
GRU,100,10,100,120,50,16-64:16,1024,
GRU,100,10,100,120,50,200-260:20,256,
GRU,100,10,100,120,50,200-260:20,1024,
GRU,100,10,100,120,150,16-1024:16,256,
GRU,100,10,100,120,150,16-1024:16,1024,
GRU,100,10,100,120,150,16-256:16,256,
GRU,100,10,100,120,150,16-256:16,1024,
GRU,100,10,100,120,150,16-64:16,256,
GRU,100,10,100,120,150,16-64:16,1024,
GRU,100,10,100,120,150,200-260:20,256,
GRU,100,10,100,120,150,200-260:20,1024,
LSTM,100,10,100,60,20,16-1024:16,256,
LSTM,100,10,100,60,20,16-1024:16,1024,
LSTM,100,10,100,60,20,16-256:16,256,
LSTM,100,10,100,60,20,16-256:16,1024,
LSTM,100,10,100,60,20,16-64:16,256,
LSTM,100,10,100,60,20,16-64:16,1024,
LSTM,100,10,100,60,20,200-260:20,256,
LSTM,100,10,100,60,20,200-260:20,1024,
LSTM,100,10,100,60,50,16-1024:16,256,
LSTM,100,10,100,60,50,16-1024:16,1024,
LSTM,100,10,100,60,50,16-256:16,256,
LSTM,100,10,100,60,50,16-256:16,1024,
LSTM,100,10,100,60,50,16-64:16,256,
LSTM,100,10,100,60,50,16-64:16,1024,
LSTM,100,10,100,60,50,200-260:20,256,
LSTM,100,10,100,60,50,200-260:20,1024,
LSTM,100,10,100,60,150,16-1024:16,256,
LSTM,100,10,100,60,150,16-1024:16,1024,
LSTM,100,10,100,60,150,16-256:16,256,
LSTM,100,10,100,60,150,16-256:16,1024,
LSTM,100,10,100,60,150,16-64:16,256,
LSTM,100,10,100,60,150,16-64:16,1024,
LSTM,100,10,100,60,150,200-260:20,256,
LSTM,100,10,100,60,150,200-260:20,1024,
LSTM,100,10,100,120,20,16-1024:16,256,
LSTM,100,10,100,120,20,16-1024:16,1024,
LSTM,100,10,100,120,20,16-256:16,256,
LSTM,100,10,100,120,20,16-256:16,1024,
LSTM,100,10,100,120,20,16-64:16,256,
LSTM,100,10,100,120,20,16-64:16,1024,
LSTM,100,10,100,120,20,200-260:20,256,
LSTM,100,10,100,120,20,200-260:20,1024,
LSTM,100,10,100,120,50,16-1024:16,256,
LSTM,100,10,100,120,50,16-1024:16,1024,
LSTM,100,10,100,120,50,16-256:16,256,
LSTM,100,10,100,120,50,16-256:16,1024,
LSTM,100,10,100,120,50,16-64:16,256,
LSTM,100,10,100,120,50,16-64:16,1024,
LSTM,100,10,100,120,50,200-260:20,256,
LSTM,100,10,100,120,50,200-260:20,1024,
LSTM,100,10,100,120,150,16-1024:16,256,
LSTM,100,10,100,120,150,16-1024:16,1024,
LSTM,100,10,100,120,150,16-256:16,256,
LSTM,100,10,100,120,150,16-256:16,1024,
LSTM,100,10,100,120,150,16-64:16,256,
LSTM,100,10,100,120,150,16-64:16,1024,
LSTM,100,10,100,120,150,200-260:20,256,
LSTM,100,10,100,120,150,200-260:20,1024,
