term,coef,abscoef
resample_scaled,2.833850934952846,2.833850934952846
batch_log2,-1.3697208768962919,1.3697208768962919
resample_scaled:seconds,-0.534334839082363,0.534334839082363
seconds,-0.46076298246838804,0.46076298246838804
timesteps,0.23064304566575175,0.23064304566575175
model_GRU,0.1750894598389693,0.1750894598389693
model_LSTM,-0.1708195640173529,0.1708195640173529
units_avg,0.05789838158749991,0.05789838158749991
Intercept,0.004269895821617333,0.004269895821617333
batch_log2:model_GRU,-0.003164364757463068,0.003164364757463068
