_key_,_seconds_,Z_by_seconds,_composite_base_,__file__,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,_forecast_steps_derived_
GRU|40.0|10.0|60.0|150.0|16-256:16|256.0,10.0,-0.539821737655711,-2.49576382,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,10.0,60.0,150.0,16-256:16,256.0,250
GRU|100.0|4.0|60.0|50.0|16-1024:16|256.0,4.0,-1.004119711531933,-1.97871891,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,100.0,4.0,60.0,50.0,16-1024:16,256.0,40
GRU|80.0|10.0|60.0|150.0|16-256:16|256.0,10.0,0.539821737655711,-1.410895643,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,10.0,60.0,150.0,16-256:16,256.0,125
GRU|40.0|8.0|60.0|150.0|16-256:16|256.0,8.0,0.6098945076140788,-4.774741791,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,8.0,60.0,150.0,16-256:16,256.0,200
GRU|40.0|4.0|60.0|20.0|16-1024:16|256.0,4.0,-1.4543748917273092,-3.848670104,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,40.0,4.0,60.0,20.0,16-1024:16,256.0,100
LSTM|80.0|4.0|60.0|1000.0|12-1024:16|256.0,4.0,-0.5069941846614983,0.08588914656,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,60.0,1000.0,12-1024:16,256.0,50
LSTM|80.0|6.0|60.0|150.0|16-256:16|256.0,6.0,-2.4727077322358104,-7.194019961,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,6.0,60.0,150.0,16-256:16,256.0,75
LSTM|80.0|4.0|30.0|20.0|16-256:16|256.0,4.0,-2.2689656181125053,-7.231740346,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,4.0,30.0,20.0,16-256:16,256.0,50
LSTM|40.0|8.0|60.0|150.0|16-256:16|256.0,8.0,-0.7390870113391117,-10.58901345,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,40.0,8.0,60.0,150.0,16-256:16,256.0,200
LSTM|80.0|8.0|60.0|150.0|16-256:16|256.0,8.0,-0.6098945076140788,-10.03217831,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,8.0,60.0,150.0,16-256:16,256.0,100
LSTM|80.0|10.0|60.0|150.0|16-256:16|256.0,10.0,-7.544708275412006,-9.534548995,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,LSTM,80.0,10.0,60.0,150.0,16-256:16,256.0,125
GRU|80.0|4.0|60.0|1000.0|16-1024:16|256.0,4.0,-3.594204681656133,-12.73558012,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,1000.0,16-1024:16,256.0,50
GRU|80.0|4.0|60.0|1000.0|12-1024:16|1024.0,4.0,-4.641279225952615,-17.08417705,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,GRU,80.0,4.0,60.0,1000.0,12-1024:16,1024.0,50
nan|nan|nan|nan|nan|nan|nan,,,,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,,,,,,,,
nan|nan|nan|nan|nan|nan|nan,,,,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,,,,,,,,
nan|nan|nan|nan|nan|nan|nan,,,,Resultado_experimentos_RSSI_Z-Score_BigDS.xlsx,,,,,,,,
