_key_,_dataset_id_,_seconds_,Z_1112,__file__,Modelo,group_msec,seconds_ahead,forecast_steps,timesteps_orig,Epochs,units_range,batch_size,Z_1211,DeltaZ
LSTM|100|3.0|30|120|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.4435953234861945,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,32-96:32,512,0.14694774571410585,1.2966475777720885
GRU|100|3.0|30|120|20|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.4310953560102522,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,20,16-64:16,512,0.11536684150451072,1.3157285145057414
LSTM|100|3.0|30|120|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.4206314100516635,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,20,64-256:64,512,-0.0196622149418247,1.4402936249934881
LSTM|100|3.0|30|60|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.387546573863271,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,60,20,64-256:64,512,-0.1000088738576246,1.4875554477208957
GRU|100|3.0|30|60|20|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.3616339184388535,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,20,16-64:16,512,-0.11668688272999218,1.4783208011688458
GRU|100|5.0|50|120|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.8581698266591864,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,120,20,32-96:32,1024,0.4986219906953456,1.3595478359638409
LSTM|100|5.0|50|120|150|16-64:16|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.845016992074266,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,150,16-64:16,2048,0.08381393931087736,1.7612030527633886
GRU|100|3.0|30|60|150|16-64:16|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.3092574308765659,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,60,150,16-64:16,2048,0.007038008184432789,1.302219422692133
LSTM|100|5.0|50|120|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,1.7849554966093424,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,120,20,32-96:32,1024,0.11438784940484083,1.6705676472045015
GRU|40|3.0|75|120|20|32-96:32|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,1.274948249926376,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,120,20,32-96:32,512,-0.3670614820052042,1.6420097319315803
